"Reference","Value","Datasheet","Digikey","Mouser","Mouser Price/Stock","RS Components","Reichelt","Menge"
"AC1","LSM6DSOXTR","https://www.st.com/resource/en/datasheet/lsm6dsox.pdf","","LSM6DSOXTR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LSM6DSOXTR?qs=l7cgNqFNU1i9dcjzItLpVQ%3D%3D","","","1"
"C1, C4","4.7uF","~","","","","","","2"
"C2, C3, C10, C19","1.0uF-25V-(+80/-20%)","~","","F921E105KPA","","","","4"
"C5, C6","15pF-1%","~","","C0603C150F8HACAUTO","","","","2"
"C7","22uF","~","","","","","","1"
"C8, C9, C11-C18, C20","100nF","~","1276-CL10B104KB8NNNLCT-ND","581-06035C104K4","","200-6519","","11"
"D1","10BQ015","https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/VS-10BQ015-M3-5BT?qs=asPD7ZL2j3VpzaHhlDLLKA%3D%3D&gad_source=1&gclid=CjwKCAiA1MCrBhAoEiwAC2d64Qfz9GdFJXcJop1dluLSezxhXfgrxGSJlfwXR4mOBbP2oq8S6QpdJRoCLncQAvD_BwE","","10BQ015","https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/VS-10BQ015-M3-5BT?qs=asPD7ZL2j3VpzaHhlDLLKA%3D%3D&gad_source=1&gclid=CjwKCAiA1MCrBhAoEiwAC2d64Qfz9GdFJXcJop1dluLSezxhXfgrxGSJlfwXR4mOBbP2oq8S6QpdJRoCLncQAvD_BwE","","","1"
"D2","WE-TVS-824015","https://www.we-online.com/components/products/datasheet/824015.pdf","","824015","https://www.mouser.at/ProductDetail/Wurth-Elektronik/824015?qs=Wn16VcyqZWp2%252Bq7OHpgqcg%3D%3D","","","1"
"D3, D4","155124RV73200","https://www.we-online.com/components/products/datasheet/155124RV73200.pdf","","155124RV73200","https://www.mouser.at/ProductDetail/Wurth-Elektronik/155124RV73200?qs=5aG0NVq1C4yQQzqaqWGYAg%3D%3D","","","2"
"FL1","WE-CNSW 744232090","https://www.we-online.com/components/products/datasheet/744232090.pdf","","744232090","https://www.mouser.at/ProductDetail/Wurth-Elektronik/744232090?qs=PGXP4M47uW6L5fAiLO6yTw%3D%3D","","","1"
"J1","JST PH2P ST90 ","https://www.reichelt.at/at/de/jst-stiftleiste-90-1x2-polig-ph-jst-ph2p-st90-p185056.html?PROVID=2807&gclid=CjwKCAiAmZGrBhAnEiwAo9qHiX8Aljedun1deSYFSHEVMIRz6JgVll-Dw5EvRr3jTF0y2CSldQKAmBoCrskQAvD_BwE","","","https://www.reichelt.at/at/de/jst-stiftleiste-90-1x2-polig-ph-jst-ph2p-st90-p185056.html?PROVID=2807&gclid=CjwKCAiAmZGrBhAnEiwAo9qHiX8Aljedun1deSYFSHEVMIRz6JgVll-Dw5EvRr3jTF0y2CSldQKAmBoCrskQAvD_BwE","","JST PH2P ST90","1"
"J2","USB4105-GF-A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","USB4105-GF-A","https://www.mouser.at/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D&gad_source=1&gclid=Cj0KCQiAyKurBhD5ARIsALamXaHB1WqEL8FpCW_cEPz8SMNbaXEcthQ5WIWoRdPENYKDcg-3_OVy5qsaArQwEALw_wcB","","","1"
"J3","Conn_01x04","~","","Beliebige Stiftleiste, Raster: 2.54mm","","","","1"
"J4-J7","54-00174","https://tensility.s3.amazonaws.com/uploads/pdffiles/54-00174.pdf?X-Amz-Expires=600&X-Amz-Date=20231206T211710Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIS2S4WRDQDSWDRZQ%2F20231206%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=9b1a304331de7a209094883b10ea93c55c7e790e0be1d3e399b91f09e8b0233f","54-00174","","https://www.digikey.de/de/products/detail/tensility-international-corp/54-00174/12140150","","","4"
"Q1","PMOS - AS3401","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2779/AS3401.pdf","AS3401","","https://www.digikey.at/de/products/detail/anbon-semiconductor-int-l-limited/AS3401/16708460","","","1"
"R1","10k/1%","","","RN73H1JTTD1002F100","https://www.mouser.at/ProductDetail/KOA-Speer/RN73H1JTTD1002F100?qs=mtPtL6iy6ALCfskr2ilnpg%3D%3D","","","1"
"R2","2k","","","ERJ-PA3J121V","","","","1"
"R3, R4, R7, R12-R14","10k","","","-- verschiedene Werte --","","","","6"
"R5, R6","5k1","","","RN73H1JTTD5101F100","https://www.mouser.at/ProductDetail/KOA-Speer/RN73H1JTTD5101F100?qs=Tw8F%252BABiY2owhjU7td4KeQ%3D%3D","","","2"
"R8-R11","120 ","","","ERJ-PA3J121V","","","","4"
"S1, S2","SW_Push","https://www.mouser.at/datasheet/2/358/typ_6x6_mm_tact_switches-1275689.pdf","","13019315","https://www.mouser.at/ProductDetail/Schurter/1301.9315?qs=tGaZrb6HVSaeSttQbZxh%2FA%3D%3D","","","2"
