"Reference","Value","Datasheet","Digikey","Farnell","Mouser","Reichelt","Menge"
"AC1","LSM6DSOXTR","https://www.st.com/resource/en/datasheet/lsm6dsox.pdf","","","LSM6DSOXTR","","1"
"C1, C4","4.7uF","~","","","81-GRM188Z71A475KE5J","","2"
"C2, C3, C10, C19","1.0uF-25V-(+80/-20%)","~","","","647-F921E105KPA","","4"
"C5, C6","15pF-1%","~","","","80-C0603C150F8HAUTO","","2"
"C7","22uF","~","","","81-GRM188R60J226ME0J","","1"
"C8, C9, C11-C18, C20","100nF","~","1276-CL10B104KB8NNNLCT","-- verschiedene Werte --","581-06035C104K4","","11"
"D1","10BQ015","https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/VS-10BQ015-M3-5BT?qs=asPD7ZL2j3VpzaHhlDLLKA%3D%3D&gad_source=1&gclid=CjwKCAiA1MCrBhAoEiwAC2d64Qfz9GdFJXcJop1dluLSezxhXfgrxGSJlfwXR4mOBbP2oq8S6QpdJRoCLncQAvD_BwE","","","78-VS-10BQ015-M35BT","","1"
"D2","WE-TVS-824015","https://www.we-online.com/components/products/datasheet/824015.pdf","","","710-824015","","1"
"D3, D4","155124RV73200","https://www.we-online.com/components/products/datasheet/155124RV73200.pdf","","","710-155124RV73200","","2"
"FL1","WE-CNSW 744232090","https://www.we-online.com/components/products/datasheet/744232090.pdf","","","710-744232090","","1"
"J1","JST PH2P ST90 ","https://www.reichelt.at/at/de/jst-stiftleiste-90-1x2-polig-ph-jst-ph2p-st90-p185056.html?PROVID=2807&gclid=CjwKCAiAmZGrBhAnEiwAo9qHiX8Aljedun1deSYFSHEVMIRz6JgVll-Dw5EvRr3jTF0y2CSldQKAmBoCrskQAvD_BwE","","","","JST PH2P ST90","1"
"J2","USB4105-GF-A","https://www.mouser.at/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D&gad_source=1&gclid=Cj0KCQiAyKurBhD5ARIsALamXaHB1WqEL8FpCW_cEPz8SMNbaXEcthQ5WIWoRdPENYKDcg-3_OVy5qsaArQwEALw_wcB","","","640-USB4105-GF-A","","1"
"J3","Conn_01x04","~","","","Beliebige Stiftleiste, Raster: 2.54mm","","1"
"J4-J7","54-00174","https://tensility.s3.amazonaws.com/uploads/pdffiles/54-00174.pdf?X-Amz-Expires=600&X-Amz-Date=20231206T211710Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIS2S4WRDQDSWDRZQ%2F20231206%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=9b1a304331de7a209094883b10ea93c55c7e790e0be1d3e399b91f09e8b0233f","839-54-00174CT","","","","4"
"Q1","PMV27UPEAR","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2779/AS3401.pdf","4530-AS3401CT","","771-PMV27UPEAR","","1"
"R1","10k/1%","","","","660-RN73H1JT1002F100","","1"
"R2","2k","","","","71-CRCW06032K00FKEAC","","1"
"R3, R4, R7, R12-R14","10k/1%","","","","660-RN73H1JT1002F100","","6"
"R5, R6","5k1","","","","791-RMC1/16K5101FTP","","2"
"R8-R11","120 ","","","","603-RC0603FR-10120RL","","4"
"S1, S2","SW_Push","https://www.mouser.at/datasheet/2/358/typ_6x6_mm_tact_switches-1275689.pdf","","","179-TS046643BK160SMT","","2"
"S3","450404015514","https://www.we-online.com/components/products/datasheet/450404015514.pdf","","","710-450404015514","","1"
"U1","MCP73831-2","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","","","579-MCP73831T-2ACIOT","","1"
"U2","TC1262-33","http://ww1.microchip.com/downloads/en/DeviceDoc/21373C.pdf","","","579-TC1262-3.3VDBTR","","1"
"U3","ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","","","356-ESP32-S3WRM1N8R2","","1"
"U4","WE-TVS-824015043","https://www.we-online.com/components/products/datasheet/824015043.pdf","","","710-824015043","","1"
"U5","MC6470","https://www.mouser.at/datasheet/2/821/MC6470_Datasheet_APS_048_0033v1_7_1-3003085.pdf","","","498-MC6470","","1"
"U6","BNO055","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bno055-ds000.pdf","828-1058","","262-BNO055","","1"
"Y1","32.768 kHz","https://www.mouser.at/datasheet/2/3/ABS07-3080027.pdf","","","815-ASDK-32.7K-LRT","","1"
